"Date";"Open";"High";"Low";"Close";"Volume";"Market.Cap"
2018-07-15;6250,324790913;6381,087798012;6236,637067252;6346,599550754;3455989685,69823;108301684788,815
2018-07-16;6349,113032979;6705,492443642;6336,933528699;6705,492443642;4630543497,44932;111553385913,803
2018-07-17;6698,843898684;7347,954698181;6666,153806008;7317,330033998;5419192992,69933;117484648785,318
2018-07-18;7313,602735913;7506,522681868;7293,696027201;7353,8838511;6330311100,25004;126702867277,644
2018-07-19;7349,626444582;7480,49111106;7289,406628292;7443,660645781;5846088135,45322;126552515026,71
2018-07-20;7444,568409892;7552,764240154;7305,638274574;7329,843347761;4966521399,75179;127340006735,71
2018-07-21;7330,341057369;7410,51243765;7264,995035975;7400,986497236;4512259647,47747;125957083903,683
2018-07-22;7398,452210369;7535,767369706;7381,602713089;7391,747573501;3665112371,91814;127708552338,546
2018-07-23;7386,710266104;7753,766990612;7375,794246766;7712,930731944;4687601679,59633;131428842715,59
2018-07-24;7715,394161402;8349,100818796;7704,861421219;8338,940620443;5764717500,86433;138130525893,73
2018-07-25;8343,380118959;8416,620991015;8070,169259958;8179,363887184;6176077122,42506;141437450720,81
2018-07-26;8165,597548772;8280,383112883;7874,765231963;7933,673932412;4940766514,84802;140555305797,24
2018-07-27;7925,66136133;8261,135335182;7834,49076069;8158,491093936;4974252390,8079;137721622178,592
2018-07-28;8172,875760772;8218,909621596;8094,790455045;8195,281387616;4271083963,42058;140469479107,344
2018-07-29;8230,52203672;8273,041209949;8130,355936972;8211,614334805;3666674348,96575;140931396441,142
2018-07-30;8218,147751985;8237,120087099;7885,594529493;8181,184913701;4448141891,50625;139853384177,086
2018-07-31;8174,641739616;8174,641739616;7662,792135741;7752,144491811;5247534991,59822;136223543687,617
2018-08-01;7744,631395433;7747,417375112;7492,216628196;7596,721802762;4823441462,3938;130208064859,329
2018-08-02;7600,558993948;7685,923378593;7508,516748605;7551,49315296;4163829164,00534;130538683460,747
2018-08-03;7548,45773574;7548,45773574;7309,308752017;7422,438043343;4091971159,84315;127285663216,901
2018-08-04;7423,369336613;7491,741800212;6967,696860292;7017,844894334;3860203504,51346;124874388282,47
2018-08-05;7021,618542978;7076,470273596;6924,906451544;7041,990104397;3682909104,36768;120528010089,832
2018-08-06;7040,944982529;7144,007979114;6869,734954513;6935,713091899;3306255574,14455;120402336022,859
2018-08-07;6945,21833169;7140,708761556;6722,266220746;6732,826689952;3700827846,12718;120399763551,104
2018-08-08;6736,300264249;6736,300264249;6205,35234374;6281,517374106;4609610922,22434;111187622461,859
2018-08-09;6291,645097695;6629,937973848;6248,586463689;6563,764604497;4210397000,6719;110258412337,924
2018-08-10;6556,79900191;6587,10507013;6109,974094768;6183,831055963;4181392943,93188;110450434360,759
2018-08-11;6178,816153253;6460,502985999;6100,812338657;6293,915942247;4185821570,73003;106925855935,202
2018-08-12;6269,572355626;6433,37253417;6227,37113489;6342,511734015;3631377731,04638;108986681777,666
2018-08-13;6342,49538075;6509,961457311;6209,058762999;6284,92811516;3625488362,31367;109683741538,993
2018-08-14;6287,053220705;6287,053220705;5952,335379774;6207,117520201;4314826467,95759;104715326537,314
2018-08-15;6217,842249039;6594,442382035;6217,842249039;6306,298266436;4271528735,36684;109910003262,033
2018-08-16;6302,073567465;6475,480838249;6263,53697101;6329,697340344;4159955398,34352;109615804939,237
2018-08-17;6339,30334607;6587,627901993;6331,717333933;6587,234439279;4220932607,43008;111590079309,256
2018-08-18;6597,212073282;6628,42929799;6345,785261392;6420,01687876;4098661004,49245;111471615191,469
2018-08-19;6416,237390702;6543,63761398;6354,653622556;6509,31191253;3185408871,98643;110575568197,29
2018-08-20;6504,064719069;6539,18499546;6277,4023894;6291,971191501;3226319434,99991;111320719763,466
2018-08-21;6284,246451559;6494,949181666;6282,055267622;6482,48093953;3352928439,44279;110497806843,182
2018-08-22;6481,300215756;6820,081466748;6319,848349671;6376,530713944;3605706790,04785;113589812746,949
2018-08-23;6379,980149324;6545,659034842;6379,980149324;6528,524414941;3432974935,30482;111083798682,763
2018-08-24;6534,230350612;6721,363282331;6501,066966866;6709,592961125;3159935178,7101;113122648892,093
2018-08-25;6703,504529877;6787,24134918;6682,141058337;6745,155572979;3482620041,81071;115890204075,74
2018-08-26;6740,966519331;6763,799067002;6594,151991808;6705,158422661;2897692512,09547;115136755514,161
2018-08-27;6708,159869046;6885,057976095;6671,239735192;6883,391276755;3208584744,26761;115875282123,08
2018-08-28;6892,118819724;7116,237490354;6870,993672867;7082,637385337;4088489331,56065;120406267603,796
2018-08-29;7080,255896341;7118,609059683;6960,460368316;7036,643093597;4017126669,35594;121596972339,095
2018-08-30;7036,431587041;7058,898976723;6832,739176005;6973,880311672;3821615060,28588;119735169322,61
2018-08-31;6977,184896695;7056,498152081;6905,33914944;7018,264049857;3847879824,79369;120305931834,486
2018-09-01;7011,745044966;7238,263496486;7011,745044966;7193,248733149;3736417380,52921;122433880681,735
2018-09-02;7189,711798204;7303,005790535;7126,753759791;7277,239549473;4026452649,61374;124689669675,939
2018-09-03;7278,253608581;7324,29065154;7185,260348865;7268,864742887;3587720774,51871;125176534045,199
2018-09-04;7267,905331927;7399,962839814;7246,754355662;7360,98929488;3585026575,49257;126418425071,54
2018-09-05;7364,127452099;7391,519913461;6714,906124526;6714,906124526;4063479414,95898;123206380150,7
2018-09-06;6720,246795663;6720,246795663;6371,902785238;6519,675094919;5128823495,47491;111338543930,765
2018-09-07;6527,528801198;6551,343072157;6367,814557664;6436,841435103;3604584133,87631;111668930820,859
2018-09-08;6432,032384471;6495,347505137;6164,499001928;6214,515450407;3029596737,9425;110352219739,563
2018-09-09;6213,220555941;6434,372794125;6186,808464011;6277,682276629;3170107868,18437;109035714370,452
2018-09-10;6274,807969006;6364,054074;6274,807969006;6330,669843302;2898910708,55307;109069459979,023
2018-09-11;6328,687635904;6391,775975694;6232,734067451;6306,694006415;2960797320,01748;109082762652,735
